Category,Header,Copy Content
Healthy Side up!,Wellness Wrap,"Egg whites, feta cheese, spinach, red bell pepper, spinach tortilla. Served with fresh fruit."
Healthy Side up!,Classic Avocado Toast,"Artisan bread, smashed avocado, poached eggs, “everything but the bagel” seasoning."
Healthy Side up!,Feta Avocado Toast,"Artisan bread, smashed avocado, arugula, cherry tomatoes, feta cheese, balsamic drizzle."
Healthy Side up!,Smoked Salmon Avocado Toast,"Artisan bread, smashed avocado, smoked salmon, pickled onions, capers, fresh dill, lemon."
Healthy Side up!,Spicy Vegan Bowl,"JUST Egg™ scrambled with spinach, mushroom, onion, red and green bell pepper, served over home fries and topped with BEYOND SAUSAGE® hot link, avocado, and sriracha."
Healthy Side up!,Steel-Cut Oats,"Slow-cooked oats topped with strawberries, blueberries, sliced almonds and organic agave."
Healthy Side up!,Acai Bowl,"Acai berry sorbet, fresh strawberries and blueberries, bananas, shredded coconut, granola, honey."
Healthy Side up!,Berry Yogurt Parfait,"Non-fat vanilla Greek yogurt, granola, fresh strawberries and blueberries."
BREAKFAST CLASSICS,Chicken-Fried Steak & Eggs,"Chicken-friend steak, housemade country gravy and eggs any style."
BREAKFAST CLASSICS,New York Steak & Eggs,New York strip steak cooked to order with two eggs.
BREAKFAST CLASSICS,American Breakfast,"Eggs, side and bread with choice of protein."
BREAKFAST CLASSICS,Two Eggs Plus…,Eggs any style plus choice of side and bread.
BREAKFAST CLASSICS,Croissant Breakfast Sandwich,"Applewood-smoked bacon, scrambled eggs, cheddar cheese and chipotle mayo on a butter croissant."
BREAKFAST CLASSICS,Monte Cristo,Grilled brioche French toast sandwich with sliced ham and Swiss cheese. Served with raspberry sauce and fresh raspberries.
BREAKFAST CLASSICS,Betty’s Southern Biscuit & Gravy,"Baked fresh buttermilk biscuit topped with our signature housemade country gravy and choice of bacon, sausage, or crispy fried chicken."
BREAKFAST CLASSICS,Hash Skillet,"Corned beef hash, bell peppers, onion and home fries topped with scrambled eggs, cheddar cheese, bacon, and green onion."
BREAKFAST CLASSICS,Country Skillet,"Diced ham, bell peppers, onions and home fries topped with cheddar cheese, sunny-side up eggs and housemade country gravy."
BREAKFAST CLASSICS,Ranchero Skillet,"Chorizo, serrano peppers and onions sauteed with home fries. Topped with Jack cheese, sunny-side up eggs, avocado, red onion, cilantro, and ranchero sauce."
BREAKFAST CLASSICS,Meat Lover Skillet,"Diced ham, bacon and sausage sauteed with bell peppers, onions, and home fries. Topped with scrambled eggs, Jack cheese and green onion."
OMELETS & BENEDICTS,Rancher,"Bacon, home fries, green bell pepper, tomato, green onion, sour cream."
OMELETS & BENEDICTS,Greek,"Egg whites, feta cheese, spinach, tomato, Kalamata olives."
OMELETS & BENEDICTS,No Name,"Bacon, tomato, mushroom, avocado, sour cream."
OMELETS & BENEDICTS,Californian,"American cheese, bacon, home fries, avocado, sour cream."
OMELETS & BENEDICTS,Mom,"Avocado, spinach, mushroom, onion, red and green bell peppers, salsa fresca, sour cream."
OMELETS & BENEDICTS,Mile High,"Ham, American cheese, green bell pepper, onion."
OMELETS & BENEDICTS,El Fuego,"Jack cheese, chorizo, jalapeno, salsa fresca, fresh guacamole."
OMELETS & BENEDICTS,Meat Lover,"Bacon, ham, sausage, pepper Jack cheese, green onion."
OMELETS & BENEDICTS,Choose Two…,Choose any two benedicts and get half of each one!
