EXPECTED_CATEGORY,DETECTED_CATEGORY,MENU_ITEM,DETECTED_CARD_TITLE,COPY_CONTENT,UAT_DESCRIPTION,CONTENT_STATUS,NUTRITION_MISMATCH,NUTRITION_INFO_STATUS,NUTRITION_SCREENSHOT,SCREENSHOT
Healthy Side up!,HEALTHY SIDE UP!,Wellness Wrap,WELLNESS WRAP,"Egg whites, feta cheese, spinach, red bell pepper, spinach tortilla. Served with fresh fruit.","Egg whites, feta cheese, spinach, red bell pepper, spinach tortilla. Served with fresh fruit.",MATCH,,VARIANT_MATCH -> Wellness Wrap (no sides),./output/main-menu/screenshots/nutrition/Wellness_Wrap_nutrition.png,./output/main-menu/screenshots/front/Wellness_Wrap.png
Healthy Side up!,HEALTHY SIDE UP!,Classic Avocado Toast,CLASSIC AVOCADO TOAST,"Artisan bread, smashed avocado, poached eggs, “everything but the bagel” seasoning.","Artisan bread, smashed avocado, poached eggs, “everything but the bagel” seasoning.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Classic_Avocado_Toast_nutrition.png,./output/main-menu/screenshots/front/Classic_Avocado_Toast.png
Healthy Side up!,HEALTHY SIDE UP!,Feta Avocado Toast,FETA AVOCADO TOAST,"Artisan bread, smashed avocado, arugula, cherry tomatoes, feta cheese, balsamic drizzle.","Artisan bread, smashed avocado, arugula, cherry tomatoes, feta cheese, balsamic drizzle.",MATCH,Total Fat (g): INPUT=389 | UAT=39,MISMATCH,./output/main-menu/screenshots/nutrition/Feta_Avocado_Toast_nutrition.png,./output/main-menu/screenshots/front/Feta_Avocado_Toast.png
Healthy Side up!,HEALTHY SIDE UP!,Smoked Salmon Avocado Toast,SMOKED SALMON AVOCADO TOAST,"Artisan bread, smashed avocado, smoked salmon, pickled onions, capers, fresh dill, lemon.","Artisan bread, smashed avocado, smoked salmon, pickled onions, capers, fresh dill, lemon.",MATCH,,VARIANT_MATCH -> Smoke Salmon Avocado Toast,./output/main-menu/screenshots/nutrition/Smoked_Salmon_Avocado_Toast_nutrition.png,./output/main-menu/screenshots/front/Smoked_Salmon_Avocado_Toast.png
Healthy Side up!,HEALTHY SIDE UP!,Spicy Vegan Bowl,SPICY VEGAN BOWL,"JUST Egg™ scrambled with spinach, mushroom, onion, red and green bell pepper, served over home fries and topped with BEYOND SAUSAGE® hot link, avocado, and sriracha.","JUST Egg™ scrambled with spinach, mushroom, onion, red and green bell pepper, served over home fries and topped with BEYOND SAUSAGE® hot link, avocado, and sriracha.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Spicy_Vegan_Bowl_nutrition.png,./output/main-menu/screenshots/front/Spicy_Vegan_Bowl.png
Healthy Side up!,HEALTHY SIDE UP!,Steel-Cut Oats,STEEL-CUT OATS,"Slow-cooked oats topped with strawberries, blueberries, sliced almonds and organic agave.","Slow-cooked oats topped with strawberries, blueberries, sliced almonds and organic agave.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Steel_Cut_Oats_nutrition.png,./output/main-menu/screenshots/front/Steel_Cut_Oats.png
Healthy Side up!,HEALTHY SIDE UP!,Acai Bowl,ACAI BOWL,"Acai berry sorbet, fresh strawberries and blueberries, bananas, shredded coconut, granola, honey.","Acai berry sorbet, fresh strawberries and blueberries, bananas, shredded coconut, granola, honey.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Acai_Bowl_nutrition.png,./output/main-menu/screenshots/front/Acai_Bowl.png
Healthy Side up!,HEALTHY SIDE UP!,Berry Yogurt Parfait,BERRY YOGURT PARFAIT,"Non-fat vanilla Greek yogurt, granola, fresh strawberries and blueberries.","Non-fat vanilla Greek yogurt, granola, fresh strawberries and blueberries.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Berry_Yogurt_Parfait_nutrition.png,./output/main-menu/screenshots/front/Berry_Yogurt_Parfait.png
BREAKFAST CLASSICS,BREAKFAST CLASSICS,Chicken-Fried Steak & Eggs,CHICKEN-FRIED STEAK & EGGS,"Chicken-friend steak, housemade country gravy and eggs any style.","Chicken-friend steak, housemade country gravy and eggs any style.",MATCH,,VARIANT_MATCH -> Chicken Fried Steak & Eggs - Boiled/Poached,./output/main-menu/screenshots/nutrition/Chicken_Fried_Steak_and_Eggs_nutrition.png,./output/main-menu/screenshots/front/Chicken_Fried_Steak_and_Eggs.png
BREAKFAST CLASSICS,BREAKFAST CLASSICS,New York Steak & Eggs,NEW YORK STEAK & EGGS,New York strip steak cooked to order with two eggs.,New York strip steak cooked to order with two eggs.,MATCH,"Trans Fat (g): INPUT=1,5 | UAT=2",VARIANT_MISMATCH -> New York Steak & Eggs - Boiled/Poached,./output/main-menu/screenshots/nutrition/New_York_Steak_and_Eggs_nutrition.png,./output/main-menu/screenshots/front/New_York_Steak_and_Eggs.png
BREAKFAST CLASSICS,BREAKFAST CLASSICS,American Breakfast,AMERICAN BREAKFAST,"Eggs, side and bread with choice of protein.","Eggs, side and bread with choice of protein.",MATCH,,VARIANT_MATCH -> American Breakfast - Boiled/Poached + Bacon,./output/main-menu/screenshots/nutrition/American_Breakfast_nutrition.png,./output/main-menu/screenshots/front/American_Breakfast.png
BREAKFAST CLASSICS,BREAKFAST CLASSICS,Two Eggs Plus…,TWO EGGS PLUS...,Eggs any style plus choice of side and bread.,Eggs any style plus choice of side and bread.,MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Two_Eggs_Plus_nutrition.png,./output/main-menu/screenshots/front/Two_Eggs_Plus.png
BREAKFAST CLASSICS,BREAKFAST CLASSICS,Croissant Breakfast Sandwich,CROISSANT BREAKFAST SANDWICH,"Applewood-smoked bacon, scrambled eggs, cheddar cheese and chipotle mayo on a butter croissant.","Applewood-smoked bacon, scrambled eggs, cheddar cheese and chipotle mayo on a butter croissant.",MATCH,Calories: INPUT=780 | UAT=1100,VARIANT_MISMATCH -> Breakfast Croissant Sandwich,./output/main-menu/screenshots/nutrition/Croissant_Breakfast_Sandwich_nutrition.png,./output/main-menu/screenshots/front/Croissant_Breakfast_Sandwich.png
BREAKFAST CLASSICS,BREAKFAST CLASSICS,Monte Cristo,MONTE CRISTO,Grilled brioche French toast sandwich with sliced ham and Swiss cheese. Served with raspberry sauce and fresh raspberries.,Grilled brioche French toast sandwich with sliced ham and Swiss cheese. Served with raspberry sauce and fresh raspberries.,MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Monte_Cristo_nutrition.png,./output/main-menu/screenshots/front/Monte_Cristo.png
BREAKFAST CLASSICS,BREAKFAST CLASSICS,Betty’s Southern Biscuit & Gravy,BETTY’S SOUTHERN BISCUIT & GRAVY,"Baked fresh buttermilk biscuit topped with our signature housemade country gravy and choice of bacon, sausage, or crispy fried chicken.","Baked fresh buttermilk biscuit topped with our signature housemade country gravy and choice of bacon, sausage, or crispy fried chicken.",MATCH,Calories: INPUT=620 | UAT=680/1080 || Calories from Fat: INPUT=230 | UAT=450 || Total Fat (g): INPUT=25 | UAT=51 || Sat Fat (g): INPUT=12 | UAT=28 || Trans Fat (g): INPUT=0 | UAT=1 || Cholest. (mg): INPUT=20 | UAT=480 || Sodium (mg): INPUT=1980 | UAT=1120 || Carbs (g): INPUT=86 | UAT=50 || Dietary Fiber (g): INPUT=0 | UAT=6 || Sugar (g): INPUT=12 | UAT=6 || Protein (g): INPUT=16 | UAT=39,MISMATCH,./output/main-menu/screenshots/nutrition/Bettys_Southern_Biscuit_and_Gravy_nutrition.png,./output/main-menu/screenshots/front/Bettys_Southern_Biscuit_and_Gravy.png
BREAKFAST CLASSICS,BREAKFAST CLASSICS,Hash Skillet,HASH SKILLET,"Corned beef hash, bell peppers, onion and home fries topped with scrambled eggs, cheddar cheese, bacon, and green onion.","Corned beef hash, bell peppers, onion and home fries topped with scrambled eggs, cheddar cheese, bacon, and green onion.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Hash_Skillet_nutrition.png,./output/main-menu/screenshots/front/Hash_Skillet.png
BREAKFAST CLASSICS,BREAKFAST CLASSICS,Country Skillet,COUNTRY SKILLET,"Diced ham, bell peppers, onions and home fries topped with cheddar cheese, sunny-side up eggs and housemade country gravy.","Diced ham, bell peppers, onions and home fries topped with cheddar cheese, sunny-side up eggs and housemade country gravy.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Country_Skillet_nutrition.png,./output/main-menu/screenshots/front/Country_Skillet.png
BREAKFAST CLASSICS,BREAKFAST CLASSICS,Ranchero Skillet,RANCHERO SKILLET,"Chorizo, serrano peppers and onions sauteed with home fries. Topped with Jack cheese, sunny-side up eggs, avocado, red onion, cilantro, and ranchero sauce.","Chorizo, serrano peppers and onions sauteed with home fries. Topped with Jack cheese, sunny-side up eggs, avocado, red onion, cilantro, and ranchero sauce.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Ranchero_Skillet_nutrition.png,./output/main-menu/screenshots/front/Ranchero_Skillet.png
BREAKFAST CLASSICS,BREAKFAST CLASSICS,Meat Lover Skillet,MEAT LOVER SKILLET,"Diced ham, bacon and sausage sauteed with bell peppers, onions, and home fries. Topped with scrambled eggs, Jack cheese and green onion.","Diced ham, bacon and sausage sauteed with bell peppers, onions, and home fries. Topped with scrambled eggs, Jack cheese and green onion.",MATCH,,NOT_FOUND,./output/main-menu/screenshots/nutrition/Meat_Lover_Skillet_nutrition.png,./output/main-menu/screenshots/front/Meat_Lover_Skillet.png
OMELETS & BENEDICTS,OMELETS & BENEDICTS,Rancher,RANCHER,"Bacon, home fries, green bell pepper, tomato, green onion, sour cream.","Bacon, home fries, green bell pepper, tomato, green onion, sour cream.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Rancher_nutrition.png,./output/main-menu/screenshots/front/Rancher.png
OMELETS & BENEDICTS,OMELETS & BENEDICTS,Greek,GREEK,"Egg whites, feta cheese, spinach, tomato, Kalamata olives.","Egg whites, feta cheese, spinach, tomato, Kalamata olives.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Greek_nutrition.png,./output/main-menu/screenshots/front/Greek.png
OMELETS & BENEDICTS,OMELETS & BENEDICTS,No Name,NO NAME,"Bacon, tomato, mushroom, avocado, sour cream.","Bacon, tomato, mushroom, avocado, sour cream.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/No_Name_nutrition.png,./output/main-menu/screenshots/front/No_Name.png
OMELETS & BENEDICTS,OMELETS & BENEDICTS,Californian,CALIFORNIAN,"American cheese, bacon, home fries, avocado, sour cream.","American cheese, bacon, home fries, avocado, sour cream.",MATCH,Calories: INPUT=1070 | UAT=1050,MISMATCH,./output/main-menu/screenshots/nutrition/Californian_nutrition.png,./output/main-menu/screenshots/front/Californian.png
OMELETS & BENEDICTS,OMELETS & BENEDICTS,Mom,MOM,"Avocado, spinach, mushroom, onion, red and green bell peppers, salsa fresca, sour cream.","Avocado, spinach, mushroom, onion, red and green bell peppers, salsa fresca, sour cream.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Mom_nutrition.png,./output/main-menu/screenshots/front/Mom.png
OMELETS & BENEDICTS,OMELETS & BENEDICTS,Mile High,MILE HIGH,"Ham, American cheese, green bell pepper, onion.","Ham, American cheese, green bell pepper, onion.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Mile_High_nutrition.png,./output/main-menu/screenshots/front/Mile_High.png
OMELETS & BENEDICTS,OMELETS & BENEDICTS,El Fuego,EL FUEGO,"Jack cheese, chorizo, jalapeno, salsa fresca, fresh guacamole.","Jack cheese, chorizo, jalapeno, salsa fresca, fresh guacamole.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/El_Fuego_nutrition.png,./output/main-menu/screenshots/front/El_Fuego.png
OMELETS & BENEDICTS,OMELETS & BENEDICTS,Meat Lover,MEAT LOVER,"Bacon, ham, sausage, pepper Jack cheese, green onion.","Bacon, ham, sausage, pepper Jack cheese, green onion.",MATCH,,NOT_FOUND,./output/main-menu/screenshots/nutrition/Meat_Lover_nutrition.png,./output/main-menu/screenshots/front/Meat_Lover.png
OMELETS & BENEDICTS,OMELETS & BENEDICTS,Choose Two…,CHOOSE TWO...,Choose any two benedicts and get half of each one!,Choose any two benedicts and get half of each one!,MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Choose_Two_nutrition.png,./output/main-menu/screenshots/front/Choose_Two.png
OMELETS & BENEDICTS,OMELETS & BENEDICTS,Classic Eggs Benedict,CLASSIC EGGS BENEDICT,"Canadian bacon, poached eggs and hollandaise on a toasted English muffin.","Canadian bacon, poached eggs and hollandaise on a toasted English muffin.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Classic_Eggs_Benedict_nutrition.png,./output/main-menu/screenshots/front/Classic_Eggs_Benedict.png
OMELETS & BENEDICTS,OMELETS & BENEDICTS,Smoked Salmon Benedict,SMOKED SALMON BENEDICT,"Smoked salmon, fresh dill, capers, arugula, poached eggs and hollandaise on a toasted English muffin.","Smoked salmon, fresh dill, capers, arugula, poached eggs and hollandaise on a toasted English muffin.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Smoked_Salmon_Benedict_nutrition.png,./output/main-menu/screenshots/front/Smoked_Salmon_Benedict.png
OMELETS & BENEDICTS,OMELETS & BENEDICTS,Golden State Benedict,GOLDEN STATE BENEDICT,"Grilled tomato, avocado, applewood-smoked bacon and poached eggs on an English muffin with hollandaise.","Grilled tomato, avocado, applewood-smoked bacon and poached eggs on an English muffin with hollandaise.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Golden_State_Benedict_nutrition.png,./output/main-menu/screenshots/front/Golden_State_Benedict.png
OMELETS & BENEDICTS,OMELETS & BENEDICTS,Chicken & Waffle Benedict,CHICKEN & WAFFLE BENEDICT,"Crispy fried chicken, poached eggs and hollandaise on two Belgian waffle quarters.","Crispy fried chicken, poached eggs and hollandaise on two Belgian waffle quarters.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Chicken_and_Waffle_Benedict_nutrition.png,./output/main-menu/screenshots/front/Chicken_and_Waffle_Benedict.png
OMELETS & BENEDICTS,OMELETS & BENEDICTS,Border Benedict,BORDER BENEDICT,"Sweet corn cakes topped with carne asada, poached eggs, fresh jalapenos and our signature housemade poblano sauce.","Sweet corn cakes topped with carne asada, poached eggs, fresh jalapenos and our signature housemade poblano sauce.",MATCH,Calories: INPUT=740 | UAT=790,MISMATCH,./output/main-menu/screenshots/nutrition/Border_Benedict_nutrition.png,./output/main-menu/screenshots/front/Border_Benedict.png
