EXPECTED_CATEGORY,DETECTED_CATEGORY,MENU_ITEM,DETECTED_CARD_TITLE,COPY_CONTENT,UAT_DESCRIPTION,CONTENT_STATUS,NUTRITION_MISMATCH,NUTRITION_INFO_STATUS,NUTRITION_SCREENSHOT,SCREENSHOT
BREAKFAST ENTREES,BREAKFAST ENTREES,FAMILY STYLE BREAKFAST,FAMILY STYLE BREAKFAST,"The Family Style Breakfast can serve 10-20 people. It includes scrambled eggs and your choice between pancakes or french toast, bacon or sausage, and hashbrowns or homefried potatoes.","The Family Style Breakfast can serve 10-20 people. It includes scrambled eggs and your choice between pancakes or french toast, bacon or sausage, and hashbrowns or homefried potatoes.",MATCH,,NO_NUTRITIONAL_INFO,,./output/catering/screenshots/front/FAMILY_STYLE_BREAKFAST.png
BREAKFAST ENTREES,BREAKFAST ENTREES,Breakfast Burritos,BREAKFAST BURRITOS,"Scrambled eggs, bacon, cheddar cheese, home fries and avocado wrapped in a flour tortilla. Served with salsa fresca and salsa verde. Small and large box options available.","Scrambled eggs, bacon, cheddar cheese, home fries and avocado wrapped in a flour tortilla. Served with salsa fresca and salsa verde. Small and large box options available.",MATCH,,VARIANT_MATCH -> Breakfast Burrito (1/2),./output/catering/screenshots/nutrition/Breakfast_Burritos_nutrition.png,./output/catering/screenshots/front/Breakfast_Burritos.png
BREAKFAST ENTREES,BREAKFAST ENTREES,VEGETARIAN BREAKFAST BURRITOS,VEGETARIAN BREAKFAST BURRITOS,"Scrambled eggs, cheddar cheese, home fries and avocado wrapped in a flour tortilla. Served with salsa fresca and salsa verde. Small and large box options available.‍","Scrambled eggs, cheddar cheese, home fries and avocado wrapped in a flour tortilla. Served with salsa fresca and salsa verde. Small and large box options available.

‍",MATCH,,VARIANT_MATCH -> VEGETARIAN BREAKFAST BURRITOS (1/2),./output/catering/screenshots/nutrition/VEGETARIAN_BREAKFAST_BURRITOS_nutrition.png,./output/catering/screenshots/front/VEGETARIAN_BREAKFAST_BURRITOS.png
BREAKFAST ENTREES,BREAKFAST ENTREES,Chorizo Burritos,CHORIZO BURRITOS,"Two eggs scrambled with spicy chorizo, home fries and cheddar cheese wrapped in a flour tortilla. Served with salsa fresca and salsa verde. Small and large box options available.","Two eggs scrambled with spicy chorizo, home fries and cheddar cheese wrapped in a flour tortilla. Served with salsa fresca and salsa verde. Small and large box options available.",MATCH,,MATCH,./output/catering/screenshots/nutrition/Chorizo_Burritos_nutrition.png,./output/catering/screenshots/front/Chorizo_Burritos.png
BREAKFAST ENTREES,BREAKFAST ENTREES,Ranchero Scramble,RANCHERO SCRAMBLE,"Home fried potatoes sautéed with chorizo, fresh chopped serrano peppers and onions. Topped with Jack cheese, scrambled eggs, avocado, red onion, cilantro and ranchero sauce. Small and large box options available.","Home fried potatoes sautéed with chorizo, fresh chopped serrano peppers and onions. Topped with Jack cheese, scrambled eggs, avocado, red onion, cilantro and ranchero sauce. Small and large box options available.",MATCH,,MATCH,./output/catering/screenshots/nutrition/Ranchero_Scramble_nutrition.png,./output/catering/screenshots/front/Ranchero_Scramble.png
BREAKFAST ENTREES,BREAKFAST ENTREES,Spicy Vegan Scramble,SPICY VEGAN SCRAMBLE,"Plant based JUST EGG™ scrambled with spinach, mushroom, onion, green and red bell pepper over home fries potatoes and topped with plant based BEYOND SAUSAGE® hot Italian link, avocado and sriracha. Serves 10.","Plant based JUST EGG™ scrambled with spinach, mushroom, onion, green and red bell pepper over home fries potatoes and topped with plant based BEYOND SAUSAGE® hot Italian link, avocado and sriracha. Serves 10.",MATCH,,MATCH,./output/catering/screenshots/nutrition/Spicy_Vegan_Scramble_nutrition.png,./output/catering/screenshots/front/Spicy_Vegan_Scramble.png
BREAKFAST TRAYS,BREAKFAST TRAYS,SCRAMBLED EGGS TRAY,SCRAMBLED EGGS TRAY,Scrambled eggs tray serves up to 10 people.,Scrambled eggs tray serves up to 10 people.,MATCH,,MATCH,./output/catering/screenshots/nutrition/SCRAMBLED_EGGS_TRAY_nutrition.png,./output/catering/screenshots/front/SCRAMBLED_EGGS_TRAY.png
BREAKFAST TRAYS,BREAKFAST TRAYS,APPLEWOOD BACON TRAY,APPLEWOOD BACON TRAY,Applewood bacon tray serves up to 10 people.,Applewood bacon tray serves up to 10 people.,MATCH,,MATCH,./output/catering/screenshots/nutrition/APPLEWOOD_BACON_TRAY_nutrition.png,./output/catering/screenshots/front/APPLEWOOD_BACON_TRAY.png
BREAKFAST TRAYS,BREAKFAST TRAYS,SAUSAGE LINKS TRAY,SAUSAGE LINKS TRAY,Sausage links tray serves up to 10 people.,Sausage links tray serves up to 10 people.,MATCH,,MATCH,./output/catering/screenshots/nutrition/SAUSAGE_LINKS_TRAY_nutrition.png,./output/catering/screenshots/front/SAUSAGE_LINKS_TRAY.png
BREAKFAST TRAYS,BREAKFAST TRAYS,HASHBROWNS TRAY,HASHBROWNS TRAY,Hash browns tray serves up to 10 people.‍,"Hash browns tray serves up to 10 people.

‍",MATCH,,MATCH,./output/catering/screenshots/nutrition/HASHBROWNS_TRAY_nutrition.png,./output/catering/screenshots/front/HASHBROWNS_TRAY.png
BREAKFAST TRAYS,BREAKFAST TRAYS,HOMEFRIES TRAY,HOMEFRIES TRAY,Home fries tray serves up to 10 people.,Home fries tray serves up to 10 people.,MATCH,,MATCH,./output/catering/screenshots/nutrition/HOMEFRIES_TRAY_nutrition.png,./output/catering/screenshots/front/HOMEFRIES_TRAY.png
BREAKFAST TRAYS,BREAKFAST TRAYS,MINI BLUEBERRY MUFFINS TRAY,MINI BLUEBERRY MUFFINS TRAY,Mini blueberry muffin tray serves up to 10 people. Contains 24 muffins.,Mini blueberry muffin tray serves up to 10 people. Contains 24 muffins.,MATCH,,MATCH,./output/catering/screenshots/nutrition/MINI_BLUEBERRY_MUFFINS_TRAY_nutrition.png,./output/catering/screenshots/front/MINI_BLUEBERRY_MUFFINS_TRAY.png
